horizon,Model,Escalation,Quad,Goldstein,CAMEO,Average
1 month,Base specification,0.7840636105541107,0.7804966017457828,0.7937918163950048,0.8083940518970002,0.8214245534621163
1 month,Terminal nodes,0.7927561264534403,0.7820451732878027,0.7857941723414533,0.8088076660909157,0.8206105607284904
1 month,Sample size,0.7879945998530842,0.7992779950631009,0.7404455121205503,0.8227051030064789,0.8367679855996082
1 month,Trees per forest,0.7836863944092597,0.7818267849934153,0.7930473108459568,0.8072392410675879,0.8207296816163381
1 month,Training/test sets 1,0.7782021444601447,0.7639473028010971,0.7630704014628876,0.7911603357991854,0.8028509683318095
1 month,Training/test sets 2,0.7434898779318443,0.7772498572459786,0.7398536905954728,0.757738345346219,0.7772929527995949
1 month,Training/test sets 3,0.7032616299405385,0.7929200186545412,0.6869753410283316,0.7240512416928996,0.7428442345808558
1 month,Coding of DV 1,0.7982857557928379,0.7975654342509866,0.7916787729110675,0.820294908113605,0.8288540229050143
1 month,Coding of DV 2,0.7980883005472562,0.8190800177488538,0.7735468126016861,0.8267896760834196,0.8044630971749741
6 months,Base specification,0.7707778421154218,0.7842887473460722,0.829511677282378,0.7884192240880139,0.8103454931480409
6 months,Terminal nodes,0.7753329473074696,0.7837097085504728,0.8133564948851573,0.7846168693302451,0.7895386990928392
6 months,Sample size,0.7776491024898669,0.7736730360934183,0.7983400887859486,0.7957923180853117,0.8200733449141093
6 months,Trees per forest,0.7713568809110211,0.787762980119668,0.8308434665122563,0.7819532908704884,0.8115807759119862
6 months,Training/test sets 1,0.7507766990291261,0.7910922330097088,0.818616504854369,0.763373786407767,0.7985679611650486
6 months,Training/test sets 2,0.7003332387975043,0.7452141236528644,0.7796015314804311,0.7510280771412365,0.7654920589903573
6 months,Training/test sets 3,0.8500681198910082,0.7333106267029973,0.838283378746594,0.7139645776566758,0.8135558583106267
6 months,Coding of DV 1,0.7774049217002237,0.7936591163310962,0.8347839765100671,0.7977139261744967,0.8182676174496645
6 months,Coding of DV 2,0.7989795918367346,0.7789115646258503,0.8391369047619047,0.8125212585034014,0.8102465986394558
