horizon,row,column,auc_roc,auc_roc_smoothed,N_test,cases
1 month,Base specification,Escalation Only,0.7823595200751785,0.8477504831882994,13748,Original model-specific cases
1 month,Base specification,With PITF Predictors,0.7809219534459151,0.7708525997219742,13155,Original model-specific cases
1 month,Base specification,Weighted by PITF,0.7954646840148699,0.7956765795944666,13461,Original model-specific cases
1 month,Base specification,PITF Split Population,0.7574665634285639,0.7650849662413252,13748,Original model-specific cases
1 month,Base specification,PITF Only,0.7554419837213704,0.754662675134646,13510,Original model-specific cases
6 months,Base specification,Escalation Only,0.7712796757382745,0.8241283953787467,2366,Original model-specific cases
6 months,Base specification,With PITF Predictors,0.8621783496007098,0.8540932533707479,2264,Original model-specific cases
6 months,Base specification,Weighted by PITF,0.8073799574233226,0.8066714517668138,2317,Original model-specific cases
6 months,Base specification,PITF Split Population,0.7862381779579232,0.7850696829720957,2366,Original model-specific cases
6 months,Base specification,PITF Only,0.7417960088691796,0.7427234505604067,2265,Original model-specific cases
1 month,Base specification,Escalation Only,0.7437030227193407,0.8030443233285824,13062,Cases adjusted to common subset
1 month,Base specification,With PITF Predictors,0.7793951156396571,0.7695938897759196,13062,Cases adjusted to common subset
1 month,Base specification,Weighted by PITF,0.7792759433761502,0.7817828639007585,13062,Cases adjusted to common subset
1 month,Base specification,PITF Split Population,0.7981434663806533,0.8052866987736649,13062,Cases adjusted to common subset
1 month,Base specification,PITF Only,0.75304102079556,0.7525400012289916,13062,Cases adjusted to common subset
6 months,Base specification,Escalation Only,0.7610267857142857,0.8217630574000814,2250,Cases adjusted to common subset
6 months,Base specification,With PITF Predictors,0.8613169642857142,0.8532654629576801,2250,Cases adjusted to common subset
6 months,Base specification,Weighted by PITF,0.7977455357142857,0.7972110721833904,2250,Cases adjusted to common subset
6 months,Base specification,PITF Split Population,0.7712946428571429,0.7704604106914998,2250,Cases adjusted to common subset
6 months,Base specification,PITF Only,0.74015625,0.7411022474095527,2250,Cases adjusted to common subset
