journal,volume,number,year,doi,title,binary_outcome,uses_roc,uses_auc,uses_smoothed_roc,uses_smoothed_auc,unclear_roc,unclear_auc,notes,bsref
non-academic,NA,NA,2008,NA,The End of Theory: The Data Deluge Makes the Scientific Method Obsolete,NA,0,0,0,0,0,0,NA,1
JCR,NA,NA,2015,https://journals.sagepub.com/doi/abs/10.1177/0022002713520530,Modeling Two Types of Peace: The Zero-inflated Ordered Probit (ZiOP) Model in Conflict Research,0,0,0,0,0,0,0,NA,1
NBER WP,NA,NA,2019,https://www.nber.org/papers/w25980,The Promise and Pitfalls of Conflict Prediction: Evidence from Colombia and Indonesia,1,0,0,0,0,0,1,"There is no mention of smoothing, but the paper does not include ROC curves, only AUC and it's not clear which variant they are from. Replication code is not available.",1
APSR,NA,NA,2000,https://www.cambridge.org/core/journals/american-political-science-review/article/improving-quantitative-studies-of-international-conflict-a-conjecture/827DD8EAADED1EA47B3EA14683B0C163,Improving Quantitative Studies of International Conflict: A Conjecture,1,0,0,0,0,0,0,NA,1
IJF,NA,NA,2016,NA,"Irregular Leadership Changes in 2014: Forecasts Using Ensemble, Split-population Duration Models",1,1,1,0,0,0,0,NA,1
JPR,NA,NA,2017,https://doi.org/10.1177%2F0022343316684009,Predicting Local Violence: Evidence from a Panel Survey in Liberia,1,0,0,0,0,1,1,"Figures 1 looks like smoothed ROC, Figure 2 not. Smoothing is not mentioned in the text. The replication R code is somewhat obtuse, but it seems that the ROC curves are generated by averaging true/false positive rate coordiantes over the 200 replications of 5-fold cross-validation, which is why they appear to be smooth. While not formally parametric, one could maybe consider this to be a sort of bootstrap smoothing.",1
IO,NA,NA,2006,https://doi.org/10.1017/S002081830606019X,Decentralization: Fueling the Fire or Dampening the Flames of Ethnic Conflict,0,0,0,0,0,0,0,NA,1
CMPS,NA,NA,2011,https://doi.org/10.1177%2F0738894210388125,"Real Time, Time Series Forecasting of Inter- and Intra-state Political Conflict",0,0,0,0,0,0,0,NA,1
Machine Learning,45,1,2001,https://link.springer.com/article/10.1023/A:1010933404324,Random Forests,1,0,0,0,0,0,0,"includes some 2-class classification tasks, but assessment is with accuracy %",1
ARS,NA,NA,1998,https://doi.org/10.1146/annurev.soc.24.1.423,Ethnic and Nationalist Violence,0,0,0,0,0,0,0,NA,1
APSR,NA,NA,2015,https://doi.org/10.1017/S0003055415000118,"Territorial Autonomy in the Shadow of Conflict: Too Little, Too Late?",1,0,0,0,0,0,0,NA,1
Science,NA,NA,2017,https://science.sciencemag.org/content/355/6324/474,Predicting Armed Conflict: Time to Adjust Our Expectations?,0,0,0,0,0,0,0,NA,1
APSR,NA,NA,2011,https://doi.org/10.1017/S0003055411000207,Horizontal Inequalities and Ethnonationalist Civil War: A Global Comparison,1,0,0,0,0,0,0,NA,1
WP,NA,NA,2010,https://doi.org/10.1017/S0043887109990219,Why Do Ethnic Groups Rebel? New Data and Analysis,1,0,0,0,0,0,0,NA,1
book,NA,NA,2012,NA,Why Civil Resistance Works,NA,0,0,0,0,0,0,NA,1
JCR,NA,NA,2015,https://doi.org/10.1177%2F0022002715576574,Can Structural Conditions Explain the Onset of Nonviolent Uprisings?,1,0,1,0,0,0,0,"Verified against replication code. Uses R verification::roc.area, which based on code examples is empirical ROC based.",1
JPR,NA,NA,2017,https://doi.org/10.1177%2F0022343316684192,The Shape of Things to Come? Expanding the Inequality and Grievance Model for Civil War Forecasts with Event Data,1,1,1,0,0,0,0,NA,1
OEP,NA,NA,2004,https://www.econ.nyu.edu/user/debraj/Courses/Readings/CollierHoeffler.pdf,Greed and Grievance in Civil War,1,0,0,0,0,0,0,NA,1
PA,NA,NA,2017,https://doi.org/10.1017/pan.2017.3,What Can We Learn from Predictive Modeling?,1,1,1,0,0,0,0,verified against replication code,1
JPR,NA,NA,2017,https://doi.org/10.1177%2F0022343317712576,Words and Deeds: From Incompatibilities to Outcomes in Anti- government Disputes,1,0,0,0,0,0,0,NA,1
JOP,NA,NA,2020,https://doi.org/10.1086/706459,Networks of Violence: Predicting Conflict in Nigeria,1,1,1,0,0,0,0,NA,1
APSR,NA,NA,2003,https://www.jstor.org/stable/3118222,"Ethnicity, Insurgency, and Civil War",1,0,0,0,0,0,0,NA,1
JPR,NA,NA,2013,https://journals.sagepub.com/doi/10.1177/0022343312449033,"Forecasting Is Difficult, Especially about the Future: Using Contentious Issues to Forecast Interstate Disputes",1,1,1,0,0,0,0,NA,1
JCR,NA,NA,1992,https://journals.sagepub.com/doi/10.1177/0022002792036002007,A Conflict-Cooperation Scale for WEIS Events Data,0,0,0,0,0,0,0,NA,1
AJPS,NA,NA,2009,https://doi.org/10.1111/j.1540-5907.2009.00426.x,A Global Model for Forecasting Political Instability,1,0,0,0,0,0,0,NA,1
AJPS,NA,NA,2011,https://doi.org/10.1111/j.1540-5907.2011.00525.x,The Separation Plot: A New Visual Method for Evaluating the Fit of Binary Models,1,1,1,0,0,0,0,NA,1
non-academic,NA,NA,2016,NA,10 Conflicts to Watch in 2016,NA,0,0,0,0,0,0,NA,1
book,NA,NA,1970,NA,Why Men Rebel,NA,0,0,0,0,0,0,NA,1
