horizon,Model,Escalation,Quad,Goldstein,CAMEO,Average
1 month,Base specification,0.7830808632293672,0.7833157960915114,0.7955058336145909,0.8090690702614703,0.8230525389293679
1 month,Terminal nodes,0.7864989709278856,0.7812047092457662,0.7862739648063954,0.8079605842217766,0.8232047489527288
1 month,Sample size,0.7889475669558658,0.7969683734042764,0.7425235098307822,0.8227712812775053,0.8364503298986811
1 month,Trees per forest,0.7837128657176703,0.7837327191989782,0.7915748443156174,0.8074377758806673,0.8208488025041858
1 month,Training/test sets 1,0.7708752389660045,0.7647078380849472,0.7665655390241876,0.7905161665696949,0.8012301554318012
1 month,Training/test sets 2,0.7511716603639419,0.7691478931661226,0.7364868504692028,0.7570164948231467,0.776797353933008
1 month,Training/test sets 3,0.7109930628424856,0.7900781158913373,0.6946411915588201,0.7239055030896584,0.7435292060160895
1 month,Coding of DV 1,0.7966635190431224,0.7963427035664996,0.8003286845354834,0.8192689039006319,0.8284666230841868
1 month,Coding of DV 2,0.7987797663067593,0.8211100428930631,0.7720122762904896,0.8265863038012128,0.8078871468717644
6 months,Base specification,0.7711252653927814,0.7861030689056167,0.8270797143408608,0.7831885736344335,0.8108087241845204
6 months,Terminal nodes,0.7738660490252848,0.7775718973171203,0.8158270604130476,0.7754487550665895,0.7897703146110789
6 months,Sample size,0.7747539085118703,0.7743678826481374,0.7989577301679213,0.7972978189538699,0.8206909862960818
6 months,Trees per forest,0.7713182783246478,0.7877243775332947,0.8314997104806022,0.7901370391816251,0.8116193784983594
6 months,Training/test sets 1,0.7524271844660194,0.7943932038834951,0.8200000000000001,0.770242718446602,0.8023543689320388
6 months,Training/test sets 2,0.6998369256948384,0.7513825865002836,0.7814095292115713,0.7458522404991492,0.7665555870674986
6 months,Training/test sets 3,0.8518392370572206,0.7230926430517711,0.8377384196185286,0.7173705722070844,0.8146457765667575
6 months,Coding of DV 1,0.7770553691275167,0.7973993288590604,0.8291212248322147,0.7893421420581656,0.8174986017897091
6 months,Coding of DV 2,0.7985119047619047,0.779889455782313,0.8396045918367346,0.7985756802721088,0.810374149659864
