horizon,Model,Escalation,Quad,Goldstein,CAMEO,Average
1 month,Base specification,0.063814636016026,0.01833670449623792,-0.006409131645818911,0.027906039821165574,0.002007414557445686
1 month,Terminal nodes,0.07018336352756038,0.012549987801623197,-0.012975470609827178,0.01887611635360098,-0.0034403874680543067
1 month,Sample size,0.06306263234749299,0.014471253122538386,-0.03608711435302736,0.03621031999952995,0.0039172271950213
1 month,Trees per forest,0.06172402213670536,0.01751547723111979,-0.006761090449872054,0.017919214198586553,0.002284856079931563
1 month,Training/test sets 1,0.08794625157462033,0.01701000149430132,-0.005767208277598246,0.021400079346517997,-8.23821257964763e-4
1 month,Training/test sets 2,0.07093484451354992,0.017337086080974062,-0.013556183015450474,0.017145771190137604,0.0018174256995351357
1 month,Training/test sets 3,0.08926841203326275,0.008709577704800742,-0.0031163102636988516,0.018278297089506124,0.00935088050985855
1 month,Coding of DV 1,0.06551744285027583,0.017372598400934525,-0.0015073288778953975,0.0229770940549211,0.004345812377701264
1 month,Coding of DV 2,0.1233799194463372,-0.01638323855639945,0.04217208163293551,-0.01339412918101568,0.00655892251949608
6 months,Base specification,0.05153319858065575,-0.009261052412134152,-0.008194424334912576,-0.011778026178815404,-0.022144980281690096
6 months,Terminal nodes,0.02112974700736736,-0.017956157843994514,-0.010048407138703142,-0.008926333198146508,-0.01911921775370784
6 months,Sample size,0.05171939947115922,0.002799140670011635,-0.01588554846571888,-0.010035129178815438,-0.032928038046384556
6 months,Trees per forest,0.05304596809275375,-0.013017716934481838,-0.009619928831639979,-0.019829636074651935,-0.020606519717301097
6 months,Training/test sets 1,0.04456590416284667,-0.012632584983781614,-0.010473775281080622,-0.01503756754761243,-0.019765118596973608
6 months,Training/test sets 2,0.023806801743929573,-0.013137286240577972,-0.016081121044198232,-0.014143168435700182,-0.015652077278395904
6 months,Training/test sets 3,0.02780027502757687,-0.017424730943475852,-0.02590477568696503,-0.036524643391436795,-0.02187752845668678
6 months,Coding of DV 1,0.05353428528240567,-0.0320315556373546,-0.009069025720745527,-0.0038048748014783973,-0.016476587107291052
6 months,Coding of DV 2,0.02911807860911897,-0.008819231465338473,-0.0143529887390762,-0.01590474880284065,-0.017930454158108677
