horizon,Model,Escalation,Quad,Goldstein,CAMEO,Average
1 month,Base specification,0.8468954992453932,0.8016525005877493,0.789096701968772,0.8369751100826359,0.8250599534868136
1 month,Terminal nodes,0.856682334455446,0.7937546970473894,0.7732984941965683,0.8268367005753776,0.8197643614846745
1 month,Sample size,0.8520101993033588,0.8114396265268148,0.7064363954777548,0.8589816012770353,0.8403675570937024
1 month,Trees per forest,0.8454368878543757,0.801248196430098,0.7848137538657454,0.8253569900792539,0.8231336585841174
1 month,Training/test sets 1,0.8588214905406248,0.7817178395792486,0.7607983307465893,0.8119162459162129,0.8004063341738364
1 month,Training/test sets 2,0.8221065048774918,0.7864849792470967,0.7229306674537523,0.7741622660132843,0.7786147796325431
1 month,Training/test sets 3,0.8002614748757484,0.798787693596138,0.6915248812951212,0.7421838001791645,0.7528800865259481
1 month,Coding of DV 1,0.8621809618933982,0.8137153019674341,0.798821355657588,0.842245997955553,0.8328124354618881
1 month,Coding of DV 2,0.9221596857530965,0.8047268043366637,0.8141843579234251,0.8131921746201971,0.8144460693912605
6 months,Base specification,0.8226584639734371,0.7768420164934825,0.8188852900059482,0.7714105474556181,0.7886637439028303
6 months,Terminal nodes,0.7949957960326521,0.7596157394731258,0.8057786532743445,0.766522421868443,0.7706510968573711
6 months,Sample size,0.8264733079830295,0.777167023318149,0.7830721817022024,0.7872626897750544,0.7877629482496973
6 months,Trees per forest,0.8243642464174016,0.7747066605988129,0.8218797816489622,0.7703074031069732,0.7910128587810583
6 months,Training/test sets 1,0.7969930886288661,0.7817606188997135,0.8095262247189194,0.7552051508989895,0.7825892503350652
6 months,Training/test sets 2,0.7236437274387679,0.7382453002597056,0.765328408167373,0.731709072063449,0.7509035097891027
6 months,Training/test sets 3,0.8796395120847975,0.7056679121082953,0.8118336439315635,0.6808459288156476,0.7927682481100707
6 months,Coding of DV 1,0.8305896544099224,0.7653677732217058,0.8200521991114692,0.7855372672566872,0.8010220146824181
6 months,Coding of DV 2,0.8276299833710237,0.7710702243169745,0.8252516030976584,0.7826709314692681,0.7924436955017553
