horizon,Model,Escalation,Quad,Goldstein,CAMEO,Average
1 month,Base specification,0.07200646777992037,0.0197638587128095,-0.005345337765846225,0.024688805242928602,0.002452134466961242
1 month,Terminal nodes,0.06163789351415716,0.012769020249901009,-0.01074679598852335,0.018815762105218292,-0.004644206606471246
1 month,Sample size,0.06035710895513713,0.014657470570549114,-0.03523812304612639,0.03764634341387141,0.004588236792947287
1 month,Trees per forest,0.05904661929695609,0.017644106057524978,-0.007163133775247688,0.01866328171130971,0.002076854111584203
1 month,Training/test sets 1,0.08791954361975773,0.01804362059080289,-0.01003189201653476,0.018431568864337944,2.44579611929141e-4
1 month,Training/test sets 2,0.06580652736396775,0.019754194367603395,-0.006541963103803727,0.017690322541031978,0.0018012679160789302
1 month,Training/test sets 3,0.0853486572952864,-0.011620428149893502,-0.006813997539816263,0.02236725227837233,0.012642035261892559
1 month,Coding of DV 1,0.06372299418493543,-0.005936428486957412,-0.007327771703781294,0.023149696571634237,0.00495474864448453
1 month,Coding of DV 2,0.12249078307146233,-0.013708863143769068,0.04525395430817769,-0.018760978483329804,0.007328944694338646
6 months,Base specification,0.051855600505274047,-0.009209258920058083,-0.008884216693796021,-0.01636391798717518,-0.02271148273248158
6 months,Terminal nodes,0.019970561224987193,-0.016821182402485757,-0.009945447770115856,-0.01833363520502418,-0.015869338400697264
6 months,Sample size,0.05101250506785082,0.0023582351201449914,-0.01685941616342035,-0.0034537574727495635,-0.03233523678328021
6 months,Trees per forest,0.053075370578041015,-0.01037379722190701,-0.009748410576660982,-0.014168572326209605,-0.020754512102934886
6 months,Training/test sets 1,0.04293326343623971,-0.01710453566454917,-0.011137854526825364,-0.024315574761894387,-0.022226653553911735
6 months,Training/test sets 2,0.02638592141159435,-0.009701314138962913,-0.0164585166606801,-0.017247262415178044,-0.017803289087082952
6 months,Training/test sets 3,0.02652166839583825,-0.011621686471977477,-0.027440453451802682,-0.027831776472738268,-0.022554271138176984
6 months,Coding of DV 1,0.05093020905513246,-0.01656078550611051,-0.009597654082859841,-0.003454818005524496,-0.018641262355829857
6 months,Coding of DV 2,0.028155287475757906,-0.01307870009206702,-0.014378039968358625,-0.01748317181046266,-0.01875380011855321
