horizon,Model,Escalation,Quad,Goldstein,CAMEO,Average
1 month,Base specification,0.7845831099816687,0.7864063213484485,0.789715234899773,0.803907165121404,0.8184134421304109
1 month,Terminal nodes,0.7917502167338376,0.7808539644093259,0.7870482505774055,0.8104290337310648,0.823522404653656
1 month,Sample size,0.7894869198647317,0.796882341651942,0.742083424328456,0.8214080088943596,0.8360135533099062
1 month,Trees per forest,0.7836202161382333,0.7823694468158325,0.79213074179224,0.808159119034856,0.8202531980649473
1 month,Training/test sets 1,0.7710955032831851,0.773356329482171,0.7656844817554651,0.7888745740171225,0.8016789959271882
1 month,Training/test sets 2,0.744955126754797,0.7781656377603241,0.7360774427098483,0.7573235506426624,0.7784026633052135
1 month,Training/test sets 3,0.7104101084295207,0.7969715518246473,0.6883890054797714,0.7272064824530722,0.7461087792934592
1 month,Coding of DV 1,0.797008547008547,0.7935643204765017,0.7945570325173724,0.8194504975666448,0.8292959008256459
1 month,Coding of DV 2,0.7981844401715723,0.8201782280727703,0.7723191835527289,0.8277695607158704,0.8069405413400383
6 months,Base specification,0.7703532136653156,0.7882262111561474,0.8317313259988419,0.781914688284115,0.8115807759119862
6 months,Terminal nodes,0.7735958309206717,0.7779965257672264,0.814398764717236,0.7812005404362092,0.7911986103068905
6 months,Sample size,0.7757961783439491,0.7761436016213086,0.797780351283536,0.7968152866242039,0.8206523837097086
6 months,Trees per forest,0.7708550472881683,0.7873769542559351,0.830264427716657,0.7891526732291063,0.8109631345300136
6 months,Training/test sets 1,0.7518446601941747,0.79317961165048545,0.8207281553398058,0.7741019417475729,0.7973543689320388
6 months,Training/test sets 2,0.7004041406693137,0.7413854225751559,0.7787507090187181,0.7446469086783891,0.7617342597844583
6 months,Training/test sets 3,0.8510217983651227,0.7211852861035423,0.8385558583106267,0.7175068119891008,0.8141008174386921
6 months,Coding of DV 1,0.7756222035794184,0.791631711409396,0.8304844798657718,0.7913695469798657,0.8156110178970918
6 months,Coding of DV 2,0.7991921768707483,0.7815051020408164,0.8399659863945578,0.8120748299319728,0.8116071428571429
