horizon,Model,Escalation,Quad,Goldstein,CAMEO,Average
1 month,Base specification,0.8494489600643697,0.7994459520852588,0.7846852991764104,0.8315058707883344,0.8210903753189026
1 month,Terminal nodes,0.8622875627218358,0.7948358048199052,0.7798657067534691,0.8307149308252999,0.8218108597915974
1 month,Sample size,0.8531540644779105,0.8106785910201751,0.7064878341609574,0.8564191910538063,0.8410925710351399
1 month,Trees per forest,0.8451020566252776,0.8010264104031434,0.7874259372391753,0.8251502204732899,0.8223201727892956
1 month,Training/test sets 1,0.8580862209682386,0.7862624851243671,0.757031179884335,0.8155215662551661,0.8023313440179239
1 month,Training/test sets 2,0.811740006448825,0.8129276422204316,0.7244817448925511,0.7758633128299367,0.7775394932692756
1 month,Training/test sets 3,0.79295346666682065,0.8108100197521579,0.6697366872453357,0.7449992344386343,0.7502944004456651
1 month,Coding of DV 1,0.8587901812000422,0.8103938691801117,0.7936181980751327,0.8441199117769888,0.8326146349553705
1 month,Coding of DV 2,0.9194564736016816,0.8008461078083858,0.8146766551888657,0.8099195239362003,0.8110857377482739
6 months,Base specification,0.8221571012210933,0.7779860696585181,0.8212651815385894,0.7717679759765783,0.7923066699350035
6 months,Terminal nodes,0.7968343046961441,0.7536860517070073,0.8097357858912062,0.7659144679293722,0.7750691806232471
6 months,Sample size,0.826488711373576,0.7791601914930618,0.7836375688575414,0.7880118282757334,0.7895820292486534
6 months,Trees per forest,0.8243377897549063,0.7755607591262912,0.8200112347173051,0.7679355558372811,0.7873753316177026
6 months,Training/test sets 1,0.7954895745875349,0.7775676925046554,0.8074196755011007,0.755038055838224,0.7732740157248916
6 months,Training/test sets 2,0.7261162674385119,0.7394635519798723,0.7637613987688129,0.7307827613911841,0.7429073133579212
6 months,Training/test sets 3,0.8799564780887513,0.7086749168867923,0.8088666322252546,0.6817425964046848,0.7916010975656147
6 months,Coding of DV 1,0.8308960583945992,0.7798580536051312,0.8191818913208443,0.7867445499064146,0.7952891987537262
6 months,Coding of DV 2,0.8276767435344035,0.7632386197500878,0.8264843283873582,0.7943962101316334,0.792357684911301
