model,horizon,specification,smoothed,original
base specification,1 month,avg,0.824748351039912,0.8221326609621
base specification,1 month,CAMEO,0.836570856082329,0.808959876114277
base specification,1 month,escalation,0.85252962383168,0.785804099082107
base specification,1 month,goldstein,0.79090296394153,0.793719020296876
base specification,1 month,quad,0.803634158147213,0.786075429993316
base specification,6 month,avg,0.787434100661413,0.809148812970469
base specification,6 month,CAMEO,0.766843655,0.783420189
base specification,6 month,escalation,0.819988454056542,0.769967187801583
base specification,6 month,goldstein,0.819098294624491,0.827272727272727
base specification,6 month,quad,0.774655474672499,0.785176606832658
