row,horizon,Escalation,Quad,Goldstein,CAMEO,Average
Base specification,1 month,0.0025296238316799835,0.004154308170771004,0.0018103289928129707,0.00483092479243008,0.0037307586483170674
Terminal nodes,1 month,0.002877101616313049,-0.004318466270526011,-0.002377086323065991,-0.0034200447948279367,-0.0019092673833069895
Sample size,1 month,0.0010432669308220177,0.001123505149013937,-0.0026935771071289194,-0.002603615065327025,-0.0012616060642739457
Trees per forest,1 month,-0.004760596134559925,0.0014810326820189346,0.002886059260346019,-0.0038197577104569502,0.0028130167638160675
Training/test sets 1,1 month,0.00104931661740304,-6.665446633090655e-4,-0.001083827283808958,0.004464237198743892,-1.4170563354709564e-4
Training/test sets 2,1 month,-8.769729569860774e-4,0.0017958943603769706,-0.0027191862264709377,0.002895175350146939,-0.004869924584674057
Training/test sets 3,1 month,0.00478993442230502,-0.004278711769034049,0.003158075255038084,-0.002710510548313949,-0.003848924214303051
Coding of DV 1,1 month,-8.855245078798202e-5,-5.797492931702841e-5,0.0047587024795159305,5.695686366470332e-4,0.003098398496404031
Coding of DV 2,1 month,7.730890832389203e-4,-3.7566474947903217e-4,0.0029395351386029,-0.0012747894043100283,0.0036826623873509323
Base specification,6 months,0.0035051610427440094,-0.004939773541533077,3.0175473883065074e-5,0.003364800152902969,-0.002696536892537016
Terminal nodes,6 months,-0.004432227821877022,0.0017279136495149672,-0.0016276857660760813,0.0025366862936989643,-0.003736602611714046
Sample size,6 months,-7.215238448909922e-4,-0.0033769604245860174,0.0025800973431039376,-0.0036805642543700223,-0.0027573858528020523
Trees per forest,6 months,0.0045705575253430775,-0.0044565870733370705,0.0020304928017060853,7.691823165190126e-4,0.0012009034381129657
Training/test sets 1,6 months,0.0038505867504849967,-0.003937622514466055,-0.0019098599631020008,-0.0032813802569759964,-9.16180211187001e-4
Training/test sets 2,6 months,9.39033787020982e-4,0.0026302900601360424,0.004106936630900004,-7.239234031010122e-4,-0.0029795588578219734
Training/test sets 3,6 months,-0.001494706138929991,-0.00430862756038497,-0.0018887672471950001,0.002462729620537951,9.89971068778961e-4
Coding of DV 1,6 months,-0.0020137566538629414,-0.00418777969915507,0.0048981038240279995,0.004683596967744008,0.0012708390534779124
Coding of DV 2,6 months,-0.0015732852302559053,0.0027077358536989893,-0.0046758702969849075,6.243125387429549e-4,0.002890133347836943
