horizon,model,Escalation,Quad,Goldstein,CAMEO,Average
1 month,Base specification,0.85,0.8,0.79,0.82,0.82
1 month,Terminal nodes,0.85,0.8,0.78,0.83,0.82
1 month,Sample size,0.85,0.81,0.71,0.86,0.84
1 month,Trees per forest,0.85,0.8,0.78,0.83,0.82
1 month,Training/test sets 1,0.86,0.78,0.76,0.81,0.8
1 month,Training/test sets 2,0.81,0.79,0.73,0.77,0.78
1 month,Training/test sets 3,0.79,0.81,0.69,0.75,0.76
1 month,Coding of DV 1,0.86,0.81,0.79,0.84,0.83
1 month,Coding of DV 2,0.92,0.8,0.81,0.81,0.81
6 months,Base specification,0.82,0.78,0.82,0.76,0.79
6 months,Terminal nodes,0.8,0.76,0.81,0.76,0.78
6 months,Sample size,0.83,0.78,0.78,0.79,0.79
6 months,Trees per forest,0.82,0.78,0.82,0.77,0.79
6 months,Training/test sets 1,0.79,0.78,0.81,0.76,0.78
6 months,Training/test sets 2,0.73,0.73,0.76,0.73,0.75
6 months,Training/test sets 3,0.88,0.71,0.81,0.68,0.79
6 months,Coding of DV 1,0.83,0.78,0.82,0.78,0.8
6 months,Coding of DV 2,0.83,0.77,0.83,0.78,0.79
