model_id,table1_rows,table1_columns,horizon,hp_set,prediction_on,id,id2
1,Base specification,Escalation,1 month,B&S,train-cv,Repeat01,Fold1
2,Base specification,Escalation,1 month,B&S,train-cv,Repeat01,Fold2
3,Base specification,Escalation,1 month,B&S,train-cv,Repeat02,Fold1
4,Base specification,Escalation,1 month,B&S,train-cv,Repeat02,Fold2
5,Base specification,Escalation,1 month,B&S,train-cv,Repeat03,Fold1
6,Base specification,Escalation,1 month,B&S,train-cv,Repeat03,Fold2
7,Base specification,Escalation,1 month,B&S,train-cv,Repeat04,Fold1
8,Base specification,Escalation,1 month,B&S,train-cv,Repeat04,Fold2
9,Base specification,Escalation,1 month,B&S,train-cv,Repeat05,Fold1
10,Base specification,Escalation,1 month,B&S,train-cv,Repeat05,Fold2
11,Base specification,Escalation,1 month,B&S,train-cv,Repeat06,Fold1
12,Base specification,Escalation,1 month,B&S,train-cv,Repeat06,Fold2
13,Base specification,Escalation,1 month,B&S,train-cv,Repeat07,Fold1
14,Base specification,Escalation,1 month,B&S,train-cv,Repeat07,Fold2
15,Base specification,Escalation,1 month,B&S,train-cv,Repeat08,Fold1
16,Base specification,Escalation,1 month,B&S,train-cv,Repeat08,Fold2
17,Base specification,Escalation,1 month,B&S,train-cv,Repeat09,Fold1
18,Base specification,Escalation,1 month,B&S,train-cv,Repeat09,Fold2
19,Base specification,Escalation,1 month,B&S,train-cv,Repeat10,Fold1
20,Base specification,Escalation,1 month,B&S,train-cv,Repeat10,Fold2
21,Base specification,Escalation,1 month,B&S,train-cv,Repeat11,Fold1
22,Base specification,Escalation,1 month,B&S,train-cv,Repeat11,Fold2
23,Base specification,Escalation,1 month,B&S,train-cv,Repeat12,Fold1
24,Base specification,Escalation,1 month,B&S,train-cv,Repeat12,Fold2
25,Base specification,Escalation,1 month,B&S,train-cv,Repeat13,Fold1
26,Base specification,Escalation,1 month,B&S,train-cv,Repeat13,Fold2
27,Base specification,Escalation,1 month,B&S,train-cv,Repeat14,Fold1
28,Base specification,Escalation,1 month,B&S,train-cv,Repeat14,Fold2
29,Base specification,Escalation,1 month,B&S,train-cv,Repeat15,Fold1
30,Base specification,Escalation,1 month,B&S,train-cv,Repeat15,Fold2
31,Base specification,Escalation,1 month,B&S,train-cv,Repeat16,Fold1
32,Base specification,Escalation,1 month,B&S,train-cv,Repeat16,Fold2
33,Base specification,Escalation,1 month,B&S,train-cv,Repeat17,Fold1
34,Base specification,Escalation,1 month,B&S,train-cv,Repeat17,Fold2
