model_id,horizon,table1_row,table1_column,hp_set,prediction_on,id,id2
1_month_base_specification_escalation_b&s_train_cv_repeat01_fold1,1 month,Base specification,Escalation,B&S,train-cv,Repeat01,Fold1
1_month_base_specification_escalation_b&s_train_cv_repeat01_fold2,1 month,Base specification,Escalation,B&S,train-cv,Repeat01,Fold2
1_month_base_specification_escalation_b&s_train_cv_repeat02_fold1,1 month,Base specification,Escalation,B&S,train-cv,Repeat02,Fold1
1_month_base_specification_escalation_b&s_train_cv_repeat02_fold2,1 month,Base specification,Escalation,B&S,train-cv,Repeat02,Fold2
1_month_base_specification_escalation_b&s_train_cv_repeat03_fold1,1 month,Base specification,Escalation,B&S,train-cv,Repeat03,Fold1
1_month_base_specification_escalation_b&s_train_cv_repeat03_fold2,1 month,Base specification,Escalation,B&S,train-cv,Repeat03,Fold2
1_month_base_specification_escalation_b&s_train_cv_repeat04_fold1,1 month,Base specification,Escalation,B&S,train-cv,Repeat04,Fold1
1_month_base_specification_escalation_b&s_train_cv_repeat04_fold2,1 month,Base specification,Escalation,B&S,train-cv,Repeat04,Fold2
1_month_base_specification_escalation_b&s_train_cv_repeat05_fold1,1 month,Base specification,Escalation,B&S,train-cv,Repeat05,Fold1
1_month_base_specification_escalation_b&s_train_cv_repeat05_fold2,1 month,Base specification,Escalation,B&S,train-cv,Repeat05,Fold2
1_month_base_specification_escalation_b&s_train_cv_repeat06_fold1,1 month,Base specification,Escalation,B&S,train-cv,Repeat06,Fold1
1_month_base_specification_escalation_b&s_train_cv_repeat06_fold2,1 month,Base specification,Escalation,B&S,train-cv,Repeat06,Fold2
1_month_base_specification_escalation_b&s_train_cv_repeat07_fold1,1 month,Base specification,Escalation,B&S,train-cv,Repeat07,Fold1
1_month_base_specification_escalation_b&s_train_cv_repeat07_fold2,1 month,Base specification,Escalation,B&S,train-cv,Repeat07,Fold2
1_month_base_specification_escalation_b&s_train_cv_repeat08_fold1,1 month,Base specification,Escalation,B&S,train-cv,Repeat08,Fold1
1_month_base_specification_escalation_b&s_train_cv_repeat08_fold2,1 month,Base specification,Escalation,B&S,train-cv,Repeat08,Fold2
1_month_base_specification_escalation_b&s_train_cv_repeat09_fold1,1 month,Base specification,Escalation,B&S,train-cv,Repeat09,Fold1
1_month_base_specification_escalation_b&s_train_cv_repeat09_fold2,1 month,Base specification,Escalation,B&S,train-cv,Repeat09,Fold2
1_month_base_specification_escalation_b&s_train_cv_repeat10_fold1,1 month,Base specification,Escalation,B&S,train-cv,Repeat10,Fold1
1_month_base_specification_escalation_b&s_train_cv_repeat10_fold2,1 month,Base specification,Escalation,B&S,train-cv,Repeat10,Fold2
1_month_base_specification_escalation_b&s_train_cv_repeat11_fold1,1 month,Base specification,Escalation,B&S,train-cv,Repeat11,Fold1
1_month_base_specification_escalation_b&s_train_cv_repeat11_fold2,1 month,Base specification,Escalation,B&S,train-cv,Repeat11,Fold2
1_month_base_specification_escalation_b&s_train_cv_repeat12_fold1,1 month,Base specification,Escalation,B&S,train-cv,Repeat12,Fold1
1_month_base_specification_escalation_b&s_train_cv_repeat12_fold2,1 month,Base specification,Escalation,B&S,train-cv,Repeat12,Fold2
1_month_base_specification_escalation_b&s_train_cv_repeat13_fold1,1 month,Base specification,Escalation,B&S,train-cv,Repeat13,Fold1
1_month_base_specification_escalation_b&s_train_cv_repeat13_fold2,1 month,Base specification,Escalation,B&S,train-cv,Repeat13,Fold2
1_month_base_specification_escalation_b&s_train_cv_repeat14_fold1,1 month,Base specification,Escalation,B&S,train-cv,Repeat14,Fold1
1_month_base_specification_escalation_b&s_train_cv_repeat14_fold2,1 month,Base specification,Escalation,B&S,train-cv,Repeat14,Fold2
